Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Yenni Desroches,https://www.yenniforcouncil.com,https://www.facebook.com/voteyenni,https://twitter.com/yennidesroches,https://www.instagram.com/yenniforcouncil,,MA,"Worcester City Council, District 5"
Bethani Cameron,https://bethaniforcitycouncil.com,https://www.facebook.com/bethaniforcitycouncil/,https://twitter.com/bethanicameron,https://www.instagram.com/bethaniforcitycouncil,,PA,"Pittsburgh City Council, District 4"
"Ayesha M. Wilson, MSW",https://www.voteayesha.com/,https://www.facebook.com/voteayesha,https://twitter.com/vote_ayesha,https://www.instagram.com/voteayesha/,,MA,Cambridge School Committee
Alyia Gaskins,https://www.alyiaforalexandria.com,https://www.facebook.com/alyia4alx,https://twitter.com/alyia4alx,https://www.instagram.com/alyia4alx,,VA,Alexandria City Council
Matt Shorraw,https://www.shorrawformonessen.com/,https://www.facebook.com/mattformonessenmayor,https://twitter.com/mattshorraw,,,PA,Mayor of Monessen
Chi OssÃ©,,,,,,NY,"New York City Council, District 36"
Adolfo Abreu,https://adolfo.nyc/,https://www.facebook.com/adolfoforcouncil/,https://twitter.com/adolfo4council,https://www.instagram.com/adolfo4council/?hl=en,,NE,"New York City Council, District 14"
Elizabeth Adams,https://www.elizabethadams.nyc/,https://www.facebook.com/elizabethadamsnyc/,https://twitter.com/elizabadams,https://www.instagram.com/elizabethforbk/,,NY,"New York City Council, District 33"
Kendra Hicks,,,,,,MA,"Boston City Council, District 6"
Tricia Shimamura,https://triciaforny.nyc/,https://www.facebook.com/tricia4nyc,https://twitter.com/tricia4nyc,https://www.instagram.com/tricia4nyc/,,NY,"New York City Council, District 5"
Pierina Sanchez,https://www.pierinasanchez.nyc,https://www.facebook.com/pierinasancheznyc,https://twitter.com/pisancheznyc,https://www.instagram.com/pierinasancheznyc/,,NY,"New York City Council, District 14"
Jill Basile,,https://www.facebook.com/jillbasileforotsego14,,,,NY,"Otsego County Board, District 14"
Steven D. Patzer,http://stevenpatzer.com,https://www.facebook.com/steven.patzer.7/,https://twitter.com/stevendpatzer,https://www.instagram.com/stevendpatzer/,,NY,"New York City Council, District 47"
Alex Gray,https://www.votealexgray.com/,https://www.facebook.com/votealexgray,https://twitter.com/alexjgray,https://www.instagram.com/votealexgray,,MA,"Boston City Council, At Large"
Lincoln Restler,https://lincolnforcouncil.com,https://www.facebook.com/lincolnrestlerforcitycouncil,https://twitter.com/lincolnrestler,https://www.instagram.com/lincolnforcouncil,,NY,"New York City Council, District 33"
Kelsey Waits,,,,,,MN,Hastings School Board ISD 200
Justan Foster,https://www.fosterrensco.com/,https://www.facebook.com/fosterrensco,,,,NY,Rensselaer County Clerk
Melanie Arroyo,http://www.melanie4lenexa.com,https://www.facebook.com/melanie4lenexa,https://twitter.com/melanie4lenexa,,,KS,"Lenexa City Council, Ward 3"
Bridgette Craighead,https://www.bridgettefordelegate.com/,https://www.facebook.com/bridgettefordelegate/,https://twitter.com/bridgetteforyou,https://www.instagram.com/bridgettefordelegate/,,VA,"Virginia  House, District 9"
KeanuÃº Smith-Brown,http://www.ksbward3.com,https://www.facebook.com/ksbward3,https://twitter.com/president_ksb,https://www.instagram.com/president_ksb/,,MD,"Annapolis City Council, Ward 3"
Rebekah Stewart,https://rebekahforlakewood.com,https://www.facebook.com/rebekahforlakewood,,,,CO,"Lakewood City Council, Ward 3"
Aisia Jones,http://www.aisiaforcleveland.com,https://www.facebook.com/aisiajones4ward8,,https://www.instagram.com/aisiajonesforward8_cle,,OH,"Cleveland City Council, Ward 8"
Giselle Martinez,https://www.martinezfornewburgh.com,https://www.facebook.com/martinezforward1,,https://www.instagram.com/martinezforward1,,NY,"Newburgh City Council, Ward 1"
Gabriella Romero,https://www.gabriellaforalbany.com,https://www.facebook.com/gabriellaforalb,https://twitter.com/gabriellaforalb,https://www.instagram.com/gabriellaforalb,,NY,"Albany Common Council, Ward 6"
Judy Pineda Neufeld,https://www.judyforsomerville.com/,https://www.facebook.com/judyforsomerville,https://twitter.com/judyforward7,https://www.instagram.com/judyforsomerville/,,MA,"Somerville City Council, Ward 7"
Gabriela Santiago-Romero,http://gabrielasantiagoromero.com/,https://www.facebook.com/gabysantiagoromero,https://twitter.com/gabysantiromero,https://www.instagram.com/gabysantiagoromero/,,MI,"Detroit City Council, District 6"
Laura Rodriguez-Carbone,https://www.lauraforlakewood.com,https://www.facebook.com/lauraforlakewood,https://twitter.com/laura4lakewood,https://www.instagram.com/lauraforlakewood,,OH,"Lakewood City Council, At-Large"
Christopher Coburn,https://www.coburnforbozeman.com,https://www.facebook.com/coburnforbozeman,,https://www.instagram.com/coburnforbozeman/,,MT,"Bozeman City Commission, At-Large"
Nadarius Clark,https://www.clarkfordelegate.com/,https://www.facebook.com/nadariusclarkfordelegate,https://twitter.com/nadariusclarkva,https://www.instagram.com/clarkfordelegate/,,VA,"Virginia House, District 79"
Megan Dougherty,https://megandougherty.com/,https://www.facebook.com/groups/195464718767155,,,,OH,Springfield Township Trustee
Harris Weiss,https://www.weissforcountyclerk.com/,https://www.facebook.com/weissforcountyclerk,,,,NY,Broome County Clerk
Jeslin Shahrezaei,https://jeslin4lakewood.com/,https://www.facebook.com/jeslinward1,,,,CO,"Lakewood City Council, Ward 1"
Fernando Branch,https://www.branchforcentennial.com,https://www.facebook.com/branch4centennial,https://twitter.com/branchforcenten,https://www.instagram.com/branch4centennial,,CO,"Centennial City Council, District 1"
Sam Johnson,https://www.samjohnsonformayor.com/,https://www.facebook.com/samjohnsonformayor,https://twitter.com/sampjohnson,https://www.instagram.com/sampjohnson/,,SC,Mayor of Columbia
Carrie Budzinski,https://carrieforlivoniacouncil.com/,https://www.facebook.com/carriebudzinskilivonia,,https://www.instagram.com/carriedawaydetroit/,,MI,Livonia City Council
Obi Ezeadi,https://www.voteobi.com,https://www.facebook.com/voteobi,https://twitter.com/ocezeadi,https://www.instagram.com/voteobi/,,CO,"Westminster City Council, At-Large"
Bridget O'Toole,https://www.otooleforgreece.com/,https://www.facebook.com/otooleforgreece,,https://www.instagram.com/otooleforgreece/,,NY,Greece Town Justice
Jae Moyer,http://www.jaemoyer.com,https://www.facebook.com/jaeforjccc,https://twitter.com/jaeforjccc,,,KS,Johnson County Community College Board of Trustees
Sophia Garcia-Jackson,https://sophiaforcoroner.com/,https://www.facebook.com/sophiaforcoroner,,,,PA,Chester County Coroner
"Kristen Runge - Tax Collector, Springfield PA",https://springfieldforward.org/kristen-runge-tax-collector/,https://www.facebook.com/rungetaxcollector,,https://www.instagram.com/springfieldforwardpa/,,PA,Springfield Township Tax Collector
Anthony Owusu Afriyie,http://www.linkedin.com/in/sovereign365,,,,,CT,Stratford Planning Commission
Rhett Deitz,https://www.deitz4delegate.com/,https://www.facebook.com/deitz4delegate,https://twitter.com/deitz4delegate,,,VA,"Virginia House, District 14"
Kate Miya,https://www.kateforthornton.com/,https://www.facebook.com/kateforthornton,,,,CO,"Thornton City Council, Ward 3"
Carolyn D Hoffman,https://www.carolynforthecounty.com/,https://www.facebook.com/carolyn-for-the-county-105770534789439,https://twitter.com/carolyn4county,https://www.instagram.com/carolynforthecounty/,,NY,"Monroe County Legislature, District 25"
Allosious Snodgrass (Al),https://www.alsnodgrass.com,https://www.facebook.com/ch4snodgrass,https://twitter.com/ch4snodgrass,https://www.instagram.com/ch4snodgrass/,,OH,Cleveland Heights City Council
Ruthzee Louijeune,https://www.ruthzeeforboston.com,https://www.facebook.com/ruthzeeforboston,https://twitter.com/ruthzee4boston,https://www.instagram.com/ruthzeeforboston/,,MA,"Boston City Council, At-Large"
KevindaryÃ¡n LujÃ¡n,https://www.lujan4newburgh.com/,https://www.facebook.com/kevindaryanlujan,,https://www.instagram.com/kevindaryan/,,NY,"Orange County Legislature, 4th Legislative District"
Willie Burnley Jr,https://www.willieforsomerville.com,https://www.facebook.com/willieforsomerville,https://twitter.com/willieburnleyjr,https://www.instagram.com/willieforsomerville/,,MA,"Somerville City Council, At-Large"
Tom Anderson,https://reimaginempls.com/,https://www.facebook.com/reimaginempls,https://twitter.com/reimaginempls,https://www.instagram.com/reimaginempls,,MN,"Minneapolis City Council, Ward 2"
Jonathon Akkari,https://www.jonfordearborn.com/,https://www.facebook.com/jonfordearborn,https://twitter.com/jonakkari,,,MI,Dearborn City Council
Stephon Williams,https://www.stephonforchange.com,https://www.facebook.com/stephonforchange,https://twitter.com/stephon4change,https://www.instagram.com/stephon4change,,NY,"Onondaga County Legislator, District 4"
Cory Thoma,,https://www.facebook.com/cory4hempfield,,,,PA,"Hempfield Area School Board, At Large"
Tyler Irish,https://www.tylerirish4dutchess.com/,https://www.facebook.com/tyleririshfordutchess,,,,NY,"Dutchess County Legislature, District 24"
Jason Chavez,https://www.jasonchavez.org/,https://www.facebook.com/jasonchavezforward9,https://twitter.com/chavezforward9,https://www.instagram.com/jasonchavezward9/,,MN,"Minneapolis City Council, Ward 9"
Mico Lucide,https://www.lucideforclerk.com/,https://www.facebook.com/lucideforclerk,https://twitter.com/micolucide,https://www.instagram.com/lucideforclerk/,,NJ,Atlantic County Clerk
Danielle Chesek,,https://www.facebook.com/daniellechesekforscrantonschoolboard,,,,PA,Scranton School Board
Joe Bennett,https://www.electjoebennett.com,https://www.facebook.com/electjoebennett,https://twitter.com/electjoebennett,https://www.instagram.com/electjoebennett,,NY,"Onondaga County Legislator, District 15"
Nick Kor,https://www.nickkor.com/,https://www.facebook.com/neighborsfornick,https://twitter.com/neighbors4nick,https://www.instagram.com/nicholasnkor/,,MN,"Minneapolis City Council, Ward 7"
Ty Gardner,https://tyforop.com,https://www.facebook.com/tyforop,https://twitter.com/tyforop,https://www.instagram.com/tyforop,,KS,"Overland Park City Council, Ward 4"
John Malchow,http://www.votewatchung.com,https://www.facebook.com/votewatchung/,https://twitter.com/votewatchung,https://www.instagram.com/votewatchung/,,NJ,"Watchung Borough Council, At Large"
Canek Aguirre,https://www.canekforcouncil.com/,https://www.facebook.com/canekforcouncil,https://twitter.com/canekforcouncil,https://www.instagram.com/canekforcouncil/,,VA,Alexandria City Council
Dillon Gherna,https://www.dgmpls.com,https://www.facebook.com/dgmpls,https://twitter.com/dillongherna,https://www.instagram.com/dgmpls/,,MN,"Minneapolis City Council, Ward 11"
Justan Parker Fields,https://www.justan4allentown.com,https://www.facebook.com/justan4allentown,https://twitter.com/jpfallentown,https://www.instagram.com/justan4allentown/,,PA,Allentown City Council
John Bohuniek,https://www.bohuniek4dutchess.com/,https://www.facebook.com/bohuniek4dutchess,https://twitter.com/bohuniek4cl15,https://www.instagram.com/bohuniek4dutchess/,,NY,"Dutchess County Legislature, District 15"
Kim-Khanh Van,https://www.electkimkhanhvan.com/,https://www.facebook.com/electkimkhanhvan,https://twitter.com/electkimkhanh,https://www.instagram.com/electkimkhanhvan/,,WA,"King County Council, District 9"
Stephen McBride,https://www.mcbrideforboston.com,https://www.facebook.com/mcbride4boston,https://twitter.com/mcbride4boston,,,MA,"Boston City Council, District 3"
Jennifer Kitchen,https://www.electjenniferkitchen.com/,https://www.facebook.com/jenniferkitchen25th,https://twitter.com/jk4delegate,https://www.instagram.com/jenni_kitchen,,VA,"Virginia House, District 25"
James Lewis,https://www.jameslewisva.com,https://www.facebook.com/jameslewisva,https://twitter.com/jameslewisva,https://www.instagram.com/jameslewisva/,,VA,"Alexandria City Council, At-Large"
Dr. Aditi Bussells,https://www.aditiforthecity.com,https://www.facebook.com/aditiforthecity,https://twitter.com/aditisrivastav,https://www.instagram.com/aditiforthecity,,SC,"Columbia City Council, At-Large"
Lezlie Braxton Campbell,https://votelezlie.com/,https://www.facebook.com/votelezlie/,https://twitter.com/votelezlie,https://www.instagram.com/votelezlie,,MA,"Springfield City Council, Ward 3"
Becca Miller,https://www.beccaforsomerville.com/,https://www.facebook.com/beccaforward7,https://twitter.com/beccaforward7,https://www.instagram.com/beccaforsomerville/,,MA,"Somerville City Council, Ward 7"
Patrick Palmer,,https://www.facebook.com/palmer4citycouncil,,https://www.instagram.com/palmerforthepeople,,PA,Allentown City Council
Alexandra Dermody,,https://www.facebook.com/alexandra-dermody-for-7th-ward-111718710972727,,,,IA,"Davenport City Council, Ward 7"
Joar F. K. Dahn,http://www.jfkdahn.com,https://www.facebook.com/jfkdahnfordarbymayor,https://twitter.com/jfkdahnformayor,https://www.instagram.com/jfkdahnfordarbymayor,,PA,Mayor of Darby Borough
Victoria Watlington,http://www.winwithwatlington.com,https://www.facebook.com/watlington4clt,https://twitter.com/watlington4clt,https://www.instagram.com/watlington4clt,,NC,"Charlotte City Council, District 3"
Nick Ferrante,https://www.nick4mayor2021.com/,https://www.facebook.com/nick4mayor2021,https://twitter.com/nick4mayor2021,https://www.instagram.com/nick4mayor2021,,GA,Mayor of Peachtree City
James Ryan,,https://www.facebook.com/jamesryanofficial,,,,MA,"Springfield City Council, At-Large"
Jivan Sobrinho-Wheeler,https://www.votejivan.com/,https://www.facebook.com/jivanforcambridge,https://twitter.com/votejivan,https://www.instagram.com/votejivan,,MA,"Cambridge City Council, At-Large"
Claire Owens,https://www.voteclaireowens.com,https://www.facebook.com/voteclaireowens,,https://www.instagram.com/voteclaireowens,,NY,"Dutchess County Legislature, District 19"
David Hamilton,http://www.hamilton4troy.com,https://www.facebook.com/hamilton4troy/,https://twitter.com/dhamilton4troy,https://www.instagram.com/hamilton4troy/,,MI,Troy City Council
Suhas Subramanyam,https://suhasforvirginia.com,https://www.facebook.com/suhasforva,https://twitter.com/suhasforva,https://www.instagram.com/suhasforva,,VA,"Virginia House, District 87"
Patrick Martin,https://patrickforbloomington.com/,https://www.facebook.com/patrickforbloomington,,,,MN,"Bloomington City Council, District IV"
Elliot Gelfand,https://www.elliotgelfand.org/,https://www.facebook.com/elliotgelfandmdj,https://twitter.com/elliotgelfand,https://www.instagram.com/elliotgelfand/,,PA,Clearfield County Magistrate Judge
Jenna Curcio,https://www.curcioforgreece.com/,https://www.facebook.com/curcioforgreece,https://twitter.com/curcioforgreece,https://www.instagram.com/curcioforgreece,,NY,"Greece Town Board, Ward 2"
Matt Johnson,https://www.votemattjohnson.com/,https://www.facebook.com/mattforlegislator/,https://twitter.com/matt4countyleg,https://www.instagram.com/johnsonforcountylegislator/,,NY,"Onondaga County Legislator, District 3"
Aisha Chughtai,https://www.aishaforward10.com,https://www.facebook.com/aishaforward10,https://twitter.com/aishaforward10,https://www.instagram.com/aishaforward10,,MN,"Minneapolis City Council, Ward 10"
Julia Forman,https://www.votejulia.com,https://www.facebook.com/juliaforqueens,https://twitter.com/julia_forman,https://www.instagram.com/juliainqueens,,NY,"New York City Council, District 26"
Amit Singh Bagga,https://amitforcouncil.com/,https://www.facebook.com/amit-for-council-106430681288858/,https://twitter.com/amitsinghbagga?lang=en,https://www.instagram.com/amitforcouncil/?hl=en,,NY,"New York City Council, District 26"
Joshua Cole,https://jgcole.org,https://www.facebook.com/jcole4va/,https://twitter.com/joshuacole,https://www.instagram.com/jcole4va/,,VA,"Virginia House, District 28"
Dave Stockton,https://hatborodems.org/dave,https://www.facebook.com/hatborodems,,https://www.instagram.com/hatborodems/,,PA,Hatboro Borough Council
Jamie Piotrowski,https://www.jamieforschoolboard.com/,https://www.facebook.com/jamie4schoolboard,https://twitter.com/jamiepio_pgh,https://www.instagram.com/jamie4schoolboard,,PA,"Pittsburgh Public School Board, District 7"
Dr. Tyler Titus (they/them),https://www.tylertitus.com/,https://www.facebook.com/electtylertitus,https://twitter.com/tylerjamestitus,,,PA,Erie County Executive
Shenise Turner-Sloss,https://www.shenisefordayton.com,https://www.facebook.com/turnersloss,https://twitter.com/turnersloss,https://www.instagram.com/turnersloss,,OH,Dayton City Council
Xander Orenstein,https://www.xander4mdj.com,https://www.facebook.com/xander4mdj/,https://twitter.com/xander4mdj,,,PA,"Pittsburgh District Magistrate, District 05-03-10"
David Halbert,https://david4boston.com/,https://www.facebook.com/votehalbert,https://twitter.com/votehalbert,https://www.instagram.com/votehalbert/,,MA,"Boston City Council, At-Large"
Sarah DeStasio,https://www.sarahforthecity.com,https://www.facebook.com/sarahforthecity,,https://www.instagram.com/sarahforthecity,,WA,"Olympia City Council, Position 6"
Andrew Grant Houston,http://www.agh4sea.com,https://www.facebook.com/agh4sea,https://twitter.com/agh4sea,https://www.instagram.com/agh4sea/,,WA,Mayor of Seattle
India Walton,http://indiawalton.com/,https://www.facebook.com/indiabwalton,https://twitter.com/indiawaltonbflo,https://www.instagram.com/indiawaltonforbuffalo/,,NY,Mayor of Buffalo
Aissa C. Heath,https://www.ld20progressivedems.com/,https://www.facebook.com/krychiwheathcastanedald20,https://twitter.com/progdems4ld20,https://www.instagram.com/progdems4ld20,,NJ,"New Jersey Assembly, District 20"
Clarissa Cervantes,https://clarissacervantes.com,https://www.facebook.com/clarissacervantesforriverside,,https://www.instagram.com/clarissacervantesforriverside/?fbclid=iwar3ukgbvhc-d0isht_kb14vboqhocggl6cjs2ddqlw3mvvbqooyoeuf_xyg,,CA,"Riverside City Council, Ward 2"
Rebecca Town,,,,,,NY,Buffalo City Court Judge
Miranda Schubert,https://mirandaforward6.com/,https://www.facebook.com/mirandaforward6tucson,https://twitter.com/mirandaforward6,https://www.instagram.com/mirandaforward6tucson/,,AZ,"Tucson City Council, Ward 6"
Christopher Jaramillo,https://sites.google.com/view/chrisjfornasdschoolboard/home,https://www.facebook.com/votechrisj,,,,PA,Norristown Area School District Board of School Directors
Lydia Laythe,,https://www.facebook.com/electlydialaythe/,,https://www.instagram.com/electlydialaythe/,,PA,"Erie County Council, District 6"
Jason Dozier,https://votedozier.com,https://www.facebook.com/votejasondozier,https://twitter.com/votejasondozier,https://www.instagram.com/votejasondozier,,GA,"Atlanta City Council, District 4"
Aryeh Alex,https://www.aryehalex.com,https://www.facebook.com/citizensforalex/,https://twitter.com/iaryeh,https://www.instagram.com/citizens_for_alex,,OH,Franklin Township Trustee
Amanda FarÃ­as,https://www.amandafarias.nyc/,https://www.facebook.com/amandafariasnyc/,https://twitter.com/amandafariasnyc,https://www.instagram.com/amandafarias.nyc/,,NY,"New York City Council, District 18"
Briana Sewell,https://sewellfordelegate.com,,,,,VA,"Virginia House of Delegates, District 51"
Marjorie VelÃ¡zquez,https://www.mvelaz.nyc/,https://www.facebook.com/mvelaznyc,https://twitter.com/mvelaznyc,https://www.instagram.com/mvelaznyc/,,NY,"New York City Council, District 13"
Jaslin Kaur,https://jaslinkaur.nyc/,https://www.facebook.com/jaslinforqueens,https://twitter.com/jaslinforqueens,https://www.instagram.com/jaslinforqueens/,,NY,"New York City Council, District 23"
Nantasha Williams,http://www.nantasha2021.com,https://www.facebook.com/nantasha2021,https://twitter.com/nantasha2021,https://www.instagram.com/nantasha2021,,NY,"New York City Council, District 27"
Felicia Singh,https://www.felicia2021.com/,https://www.facebook.com/feliciasingh2021,https://twitter.com/fsingh_nyc,https://www.instagram.com/feliciasingh2021/,,NY,"New York City Council, District 32"
Jennifer Gutierrez,https://www.jennifergutierrez2021.com/,,https://twitter.com/jengutierreznyc,https://www.instagram.com/jengutierreznyc/,,NY,"New York City Council, District 34"
Juan Ardila,https://www.juanforthepeople.com/,https://www.facebook.com/juanardilanyc/photos/p.100707361549371/100707361549371/?type=1&theater,https://twitter.com/juanardilanyc?lang=en,https://www.instagram.com/juanardila_nyc/?hl=en,,NY,"New York City Council, District 30"
David Snyder,http://www.davidsnyderformayor.com,https://www.facebook.com/davidsnyderformayor,https://twitter.com/dsnyderformayor,https://www.instagram.com/davidsnyderformayor,,NY,Mayor of Saratoga Springs
Crystal Hudson,https://www.crystalforbk.com/,https://www.facebook.com/crystalforbk,https://twitter.com/crystalrhudson,https://www.instagram.com/chudchud/,,NY,"New York City Council, District 35"
Tiffany CabÃ¡n,https://cabanforqueens.com,https://www.facebook.com/cabanforqueens,https://twitter.com/tiffany_caban,https://www.instagram.com/cabanforqueens/,,NY,"New York City Council, District 22"
Justin Bibb,http://www.bibbforcle.com,https://www.facebook.com/justinbibbforcle,https://twitter.com/bibbforcle,https://www.instagram.com/bibbforcle,,OH,Mayor of Cleveland
Amoy Barnes,https://www.amoybarnes.com,https://www.facebook.com/amoyforcouncil/,https://twitter.com/amoyforcouncil?lang=en,https://www.instagram.com/amoyforcouncil/,,NY,"New York City Council, District 49"
Danny Ceisler,https://www.ceislerforda.com,https://www.facebook.com/ceislerforda,,https://www.instagram.com/ceislerforda,,PA,Bucks County (PA) District Attorney
Amber Adler,http://amberadler.com/,https://www.facebook.com/theamberadler,https://twitter.com/amberadlernyc,,,NY,"New York City Council, District 48"
Sara Lind,https://www.saralind.nyc/,https://www.facebook.com/saralind2021,https://twitter.com/saraklind,https://www.instagram.com/saraklind/,,NY,"New York City Council, District 6"
Wilfredo Florentino,https://wilfredoflorentino.com/,https://www.facebook.com/wilfredoflorentinoeny/,https://twitter.com/wilfredobklyn,https://www.instagram.com/teamwilfredoflorentino/,,NY,"New York City Council, District 42"
Elisa Crespo,https://www.elisacrespo.com/,https://www.facebook.com/elisacrespony1,https://twitter.com/elisacresponyc,https://www.instagram.com/elisacresponyc,,NY,"New York City Council, District 15"
Shahana Hanif,https://shahanafrombk.com/,https://www.facebook.com/shahanafrombk,https://twitter.com/shahanafrombk,https://www.instagram.com/shahanafrombk/,,NY,"New York City Council, District 39"
Olivia Drabczyk,http://www.oliviadrabczyk.com,https://www.facebook.com/oliviaforsouthshore,https://twitter.com/oliviadrabczyk,https://www.instagram.com/oliviadrabczyk/,,NY,"New York City Council, District 51"
Althea Stevens,https://www.althea4citycouncil.org/,https://www.facebook.com/astevens16/,https://twitter.com/althea4thebx,https://www.instagram.com/althea_stevens_d16/,,NY,"New York City Council, District 16"
Zeke Rediker,http://zekeforjudge.com,https://www.facebook.com/zekeforjudge,https://twitter.com/zekeforjudge,https://www.instagram.com/zekeforjudge,,PA,Allegheny County Court of Common Pleas
Gerald T Reiner Jr.,http://www.reiner4teaneck.com,,,,,NJ,Teaneck Township Board of Education
A. Tom Hasani,http://www.tomhasani.com,https://www.facebook.com/tamim.hasani,,,,PA,"Upper Moreland Township Board of School Directors, At Large"
Kayla Cocci,,https://www.facebook.com/cocci-for-ridley-school-board-107411571389528,,https://www.instagram.com/cocciforschoolboard/,,PA,"Ridley School Board, At Large"
Sandy Nurse,https://sandyforcouncil.com/en/,https://www.facebook.com/sandyforcouncil21/,https://twitter.com/sandyforcouncil,https://www.instagram.com/sandyforcouncil21/,,NY,"New York City Council, District 37"
Lisa Smith,https://www.lisaforarvada.com/,https://www.facebook.com/lisaforarvada,https://twitter.com/lisasmitharvada,,,CO,"Arvada City Council, At-Large"
Halla Henderson,https://www.hallaforspps.com/,https://www.facebook.com/hallaforspps,https://twitter.com/hallaforspps,https://www.instagram.com/hallaforspps,,MN,"St. Paul School Board, At-Large"
Bob Murrell,http://bob4districta.com,https://www.facebook.com/bob4districta,https://twitter.com/bob4districta,https://www.instagram.com/bob4districta,,LA,"New Orleans City Council, District A"
Christopher Marte,https://www.votemarte.com,https://www.facebook.com/chrismartenyc,https://twitter.com/chrismartenyc,https://www.instagram.com/chrismartenyc,,NY,"New York City Council, District 1"
Kristin Andrzejewski,http://www.kristinforcouncil.com,https://www.facebook.com/kristinforsyrcouncil,,https://www.instagram.com/kristinforcouncil,,NY,"Syracuse Common Council, District 5"
Marti Gould Allen-Cummings,https://www.martiformanhattan.com/,https://www.facebook.com/martigcummings,https://twitter.com/martigcummings,https://www.instagram.com/martigcummings/,,NY,"New York City Council, District 7"
Dr. Priya Bhat-Patel,https://www.priyabhatpatel.com,https://www.facebook.com/drpriyabhatpatel,https://twitter.com/priyabhatpatel,https://www.instagram.com/priyabhatpatel/,,CA,"Carlsbad City Council, District 3"
